plan_id,state,metal_level,rate,rate_area
52161YL6358432,AL,Silver,245.82,6
30922AS3489028,TX,Bronze,197.09,26
26497HW1710262,OH,Silver,337.65,1
24244YZ0779987,SC,Bronze,256.69,8
94641JE1613033,FL,Bronze,262.96,42
84739IP7991498,VA,Silver,297.33,3
17589HK6044932,TX,Gold,342.26,12
62823VB3781488,FL,Bronze,317.7,37
88833OR5225641,NE,Silver,389.42,3
31727UX6116202,AL,Gold,312.06,9
06044SE7314141,IL,Bronze,175.59,7
34926IE3412997,FL,Platinum,417.04,1
51027OY4244569,FL,Silver,308.61,50
50660KV6559607,GA,Catastrophic,250.12,1
96736EA4261036,OK,Gold,308.82,3
43518UQ4047409,FL,Bronze,313.9,51
98985QY0824753,SC,Silver,274.98,32
37458UV3249449,LA,Gold,342.82,3
92765TU8433188,FL,Gold,385.88,11
61298IW2978300,KS,Gold,264.37,7
10987NG8770826,NC,Gold,457.92,2
52643TK3267610,ME,Silver,305.27,1
36907GY6485435,SC,Silver,477.6,29
70207JB5372070,LA,Bronze,280.15,5
71384WS6408654,WY,Catastrophic,345.76,3
97462JJ5614906,NC,Gold,320,11
21871SI8945723,OH,Silver,248.54,6
64804IQ1925529,OH,Bronze,338.35,17
43245NK9270776,FL,Gold,384.91,48
97703RF9206476,SC,Silver,321.75,35
55888UH4930997,MI,Gold,413.65,13
69337GH9853353,LA,Catastrophic,181.4,3
53133OW1257307,TX,Bronze,307.7,15
47462VL7643427,SC,Silver,243.26,10
22014XB6585503,OH,Bronze,276.19,5
04831VO7684335,FL,Silver,280.92,34
24554ZV6010908,FL,Platinum,479.19,8
31213DW9259864,WI,Gold,484.1,15
00339SH2887507,IN,Bronze,279.19,4
67580GC1617927,OR,Bronze,243,6
70464DX0133492,IN,Silver,329.61,13
87863WM2369702,TX,Bronze,210.14,26
95840GE3920399,WI,Gold,516.31,9
88227HJ9250232,SC,Silver,408.87,33
96236FO9029191,SC,Silver,289.35,44
76273EP2432681,AR,Silver,342.06,1
11161MC1864294,OH,Silver,349.47,15
29786ED3355144,NM,Bronze,198.63,2
18828HT5887239,OH,Silver,344.4,16
97639ND1636437,FL,Silver,366.01,2
31121NM7178710,FL,Silver,380.19,25
60108JF1293814,FL,Platinum,383.81,5
27483FQ8787956,WI,Bronze,249.74,9
99680DY2838499,GA,Silver,301.62,5
51884XW0742974,PA,Gold,362.92,5
02819MH8998618,WI,Bronze,312.32,1
04208IK6881094,OK,Bronze,209.39,4
01726MB7774039,TX,Gold,350.6,11
59377JX5943803,IL,Gold,348.49,7
80186SW0826979,SC,Silver,314.51,34
83499UF2788548,FL,Bronze,239.46,48
77912AN5885239,FL,Bronze,292.95,3
19351BV8455026,WI,Silver,370.02,5
17021NE3572940,AZ,Bronze,353.7,3
34640OT8967446,OH,Silver,254.44,15
26024QR4170457,OR,Silver,293,7
26123PM7626914,PA,Silver,174.87,4
85289EK2404732,AZ,Catastrophic,215.7,3
47226UM6024504,GA,Gold,289.15,3
07950OB9784266,PA,Bronze,267.02,8
63742DH3059514,SC,Silver,317.33,18
89317EP1584597,SC,Silver,311.42,17
35867XN7286040,PA,Silver,256.38,3
19384KP0533884,SC,Silver,301.55,32
58241BL4041709,FL,Bronze,267.72,34
95931KT0329229,MI,Gold,339.18,4
96498TE5562176,FL,Platinum,438.68,20
09450MA9272271,FL,Gold,439.13,5
99439BJ2872184,OR,Silver,299,1
44922WG5297662,FL,Bronze,255.16,52
11855OX5398025,FL,Catastrophic,227.74,7
40582CN2619622,PA,Silver,196.08,2
10665XA3690423,UT,Silver,242.74,4
12563HQ9392357,IL,Bronze,246.99,9
55881PK3277290,IL,Silver,239.83,5
74551KY0353435,WI,Catastrophic,201.4,14
12128CA7029114,FL,Silver,364.35,16
03174RO0308512,FL,Bronze,291.34,3
54147PX5792984,MI,Gold,366.72,7
19908ZG4263049,UT,Silver,244.81,4
05938CG3043338,NV,Gold,278.96,1
50513PT5225194,NM,Gold,290.14,1
90033SH1792949,SC,Bronze,210.54,4
00881MD5994724,WI,Bronze,300.96,14
68540QP3035382,SC,Silver,291.75,18
71094JB3202172,OH,Silver,268.75,4
53153DT4217449,AL,Gold,357.38,2
86810BX7219698,AZ,Gold,262.27,6
16038UF9531618,TX,Gold,301.42,19
89309WI3956095,FL,Gold,377.05,21
59014FH6115071,GA,Silver,272.99,13
08659GY6546843,OH,Silver,241.81,4
62367HH9021518,FL,Platinum,459.39,5
42738ZF5451860,SC,Silver,283.6,1
57121ZR6503117,FL,Gold,399.62,36
57420CI1947628,UT,Silver,238.34,5
97714CM1644624,SC,Silver,296.1,9
41823SG1973448,OR,Bronze,229.1,6
95482MW9787969,SD,Gold,366.72,4
09930BD0568978,AZ,Gold,298.43,5
30562SQ9407430,FL,Catastrophic,241.44,27
39257HO7799634,LA,Silver,335.32,3
96362ZH4830129,MI,Silver,329.95,8
05518YV5544525,IN,Silver,342.09,10
03147JK0719731,FL,Gold,352.95,53
75926PI4844227,WI,Bronze,276.14,10
57957DM4208068,LA,Silver,385.35,8
64994VL6601091,IN,Bronze,224.88,4
06110SR9689881,OH,Bronze,193.46,1
55271RT5559598,NC,Gold,344.39,11
67938RK0802630,FL,Silver,304.81,30
80158MG7193992,SC,Bronze,173.69,9
01009VX9136069,MI,Gold,331.01,12
54443OL4354232,WI,Gold,378.51,16
82146WQ3567735,FL,Bronze,341.55,43
84564BU3395091,AZ,Gold,241.53,6
07889ER9201272,OH,Silver,303.32,3
50845TG8054455,OR,Bronze,178,1
41305QX2312837,GA,Silver,330.56,8
36580JX6064512,FL,Silver,294.87,10
85578MC6139541,SC,Bronze,267.84,46
99879OB8462547,OR,Silver,226,7
10230YE1775242,MI,Bronze,254.42,4
36995IO0390169,IN,Bronze,359.91,14
48471HC4153936,NV,Gold,301.2172909,1
50776JM1547756,VA,Gold,309.3,7
91500OX7533304,IN,Bronze,465.33,7
28993BM5499682,NC,Silver,372.17,3
64291ZF4720887,TX,Gold,325.69,14
30556NN8314092,MI,Silver,248.32,14
54102FN5825350,AZ,Catastrophic,213.36,1
09748CV8985328,SC,Silver,287.18,26
84012QQ6406978,NC,Silver,460.68,4
37205JU0306317,IL,Bronze,216.9,11
09627JR9522733,AZ,Gold,243.74,6
86476RJ0028096,SC,Silver,456.45,24
73087OM5786228,MI,Gold,403.93,10
24036LW3587834,WI,Gold,459.72,4
11882EY2927202,FL,Bronze,325.17,6
93292FL6747442,IL,Bronze,237.66,8
37457NU6283286,TN,Bronze,200.61,1
23631MA3583534,VA,Bronze,212.75,11
21603YN1157641,WI,Bronze,305.13,2
78814IW4465417,FL,Platinum,475.98,34
68270LS2622619,SC,Silver,296.26,30
59129JE3051204,TX,Silver,334.38,11
85528AJ6661778,WI,Catastrophic,232.01,11
36834QN9887238,SC,Gold,330.28,10
80937NO5343323,IA,Bronze,217.79,5
87842MY9379806,SC,Bronze,287.24,6
13820JN8192370,FL,Platinum,377.94,64
99873NU4621955,KS,Silver,190.43,1
61921PC3598096,UT,Gold,284.49,3
84015ZO6093019,SC,Silver,301.75,3
50950NS0166615,SC,Silver,284.62,36
58119OD8933631,IN,Silver,364.79,13
99569YU6928970,OH,Gold,455.56,15
60932GX3916607,SC,Silver,314.24,40
88430OG1130366,OH,Silver,337.09,16
25581PW0616215,FL,Platinum,419.23,15
27775JQ0142961,MI,Gold,347.21,1
77903HC9734396,PA,Silver,363.25884,8
34138FV9673475,MI,Bronze,263.04,9
47114LI9622150,FL,Bronze,296.25,4
37461ON0313388,FL,Silver,346.97,58
14885IE8154950,OK,Catastrophic,155.14,3
96973EQ9972959,PA,Platinum,332.03,5
66633BX9621780,KS,Catastrophic,158.04,5
08046NX1304390,MI,Gold,466.35,9
26372VO6393287,NE,Silver,350.86,3
56515KG7226110,WI,Silver,337.57,4
68424RV4900366,IL,Gold,370.8,6
33192UI8652908,SC,Silver,284.5,44
52027LU2765019,KS,Bronze,183.16,5
21686JK5645164,FL,Bronze,283.12,65
56065OO0740134,NM,Silver,220.17,3
77760VX5979322,TX,Gold,288.15,19
53304TN9793960,IN,Bronze,244.5,10
59871LE2966818,TX,Silver,407.18,1
02832RK2067089,OH,Bronze,239.7,8
69589VW8901050,OK,Catastrophic,179.76,2
23018XQ8604367,WI,Silver,326.7,15
52294NP6575491,OH,Catastrophic,154.7,6
47366IN5489026,PA,Silver,219.14,6
37890WT1024474,OH,Silver,235.06,1
75114JW8806425,OR,Gold,268,2
67411GT1601162,IL,Catastrophic,217.12,8
01995OF5564847,SC,Gold,334.93,9
27397MJ5617089,AZ,Silver,341.19,4
58242JU3055897,IL,Silver,248.34,12
48698YT7335405,FL,Platinum,427.93,4
46726LK7829190,IN,Bronze,282.18,7
67206ZS8720903,TX,Silver,274.06,3
60893VY7160888,TX,Bronze,211.42,26
99721KJ4084181,IN,Catastrophic,215.25,3
58773IX2064712,IL,Silver,317.83,6
89109UD4746956,VA,Catastrophic,177.27,5
18159RF1695511,FL,Silver,317.02,31
34875FO4784451,OH,Gold,360.68,10
87534VQ5002278,SC,Bronze,249.43,23
73156VR8093159,SC,Bronze,268.96,17
45737VA0742925,TX,Silver,316.3,14
95087OR6369283,TN,Silver,241.1,6
08558VL6490995,SC,Gold,357.22,33
82199SO5677677,PA,Gold,317,7
77215MO4993616,GA,Silver,99.53,6
30614TV6901790,IL,Bronze,179.76,12
79354UH7538353,FL,Bronze,280.85,17
89379BJ2698184,MO,Gold,326.14,6
71685BQ4977053,WI,Catastrophic,192.43,11
91168CL4980135,SC,Silver,494.25,34
62375KI8035005,FL,Gold,463.24,2
62363CO5211112,WI,Bronze,255.84,7
61895MO1983364,OH,Silver,380.12,7
67150WO6931708,TX,Silver,256.5,16
38809VV8849339,WI,Bronze,297.12,16
12561QI1263911,SC,Bronze,329.53,24
34671IE1437744,FL,Bronze,295.49,46
83290PG3226693,IN,Silver,484.32,13
25360TY1531879,MS,Bronze,251.21,3
17384SP0164944,UT,Bronze,215.63,2
79356LD7511206,SC,Silver,282.15,20
90356PT5569595,WI,Catastrophic,250.48,1
64832TG6287386,IL,Gold,368.58,1
13386ZC7761797,SC,Bronze,247.74,8
09108UP5236505,FL,Gold,364.67,5
21406IE6641321,IL,Gold,298.3,11
25457XO3789453,FL,Bronze,379.65,50
46537TQ1816127,FL,Platinum,550.11,47
02495BI3695717,IN,Silver,309.49,5
13484DG4012511,NC,Bronze,282.39,2
96369RP2714199,FL,Gold,475.12,43
19865XR7557078,LA,Platinum,448.35,3
87138RI5923621,SC,Bronze,273.81,37
56844TY0435030,FL,Silver,319.35,50
61370JR8501271,FL,Bronze,314.06,46
24680TU2977884,WI,Silver,267.54,16
40441HH0885328,FL,Bronze,250.31,50
09975HR9908199,SC,Silver,310.35,37
52439FG0936920,IA,Bronze,189.56,5
02189RQ5094292,SC,Silver,240.59,15
27573KQ7405569,TX,Bronze,164.94,15
68955NC0061197,SC,Bronze,280.36,43
90890EW9472063,AK,Silver,597,3
43259JY8224291,IL,Gold,374.71,5
62237CJ8820635,NH,Bronze,222.85,1
92264NN0096790,MO,Silver,361.15,5
62032UH2575052,TN,Silver,276.05,2
18286SL5198003,SC,Gold,360.38,46
90721QV8914620,MS,Gold,341.93,3
11313FV2744224,OH,Silver,291.61,10
96357GX0372108,FL,Silver,394.62,42
40367QX7050502,SC,Catastrophic,195.34,46
03388TX8996120,WI,Silver,330.08,11
16358YM2907195,IN,Bronze,224.19,4
28995BA2276010,FL,Bronze,252.7,13
66233UW4959027,FL,Gold,335.73,36
63797XJ5121406,AZ,Gold,311.74,5
47213XR5169701,GA,Silver,308.32,3
97588IW8229199,IA,Gold,241.86,4
64888QR9646147,WY,Gold,484,2
03391RI6333344,AR,Gold,320.39,4
37070XN1832192,WI,Silver,302.45,5
42632GP1338806,MO,Silver,325.71,5
40054EV6949735,MS,Gold,379.01,3
98975QL1862984,MI,Gold,415.03,11
30221GV8987316,FL,Silver,377.9,7
35200AO0775394,WI,Bronze,234.79,2
72589VE4778151,PA,Gold,261.47,5
67221IY3976962,SC,Silver,250.64,22
89017TI4653426,SC,Gold,344.69,1
81247TQ6529690,NV,Bronze,280.25,2
13414II8879783,OH,Bronze,274.01,2
82072ZZ2270859,OK,Gold,375.16,5
79236DW7528882,IN,Gold,414.72,15
43255FQ3482976,FL,Silver,323.77,5
91310ZQ6518685,WI,Catastrophic,319.89,6
12069QG1414444,TX,Bronze,195.55,2
76348FE2648004,ND,Bronze,283.02,1
96434JE6953739,VA,Bronze,245.19,5
55312ZM7807816,FL,Bronze,280.59,64
59253WR5816572,DE,Bronze,259.03,1
12066MQ2139478,PA,Gold,319.2,4
88742PI4516189,MI,Bronze,220.28,5
14960JW1815295,NC,Silver,339.09,3
94555CH4518931,IN,Bronze,277.61,9
38902XV1585280,MS,Bronze,255.16,6
52711IC5766149,SC,Silver,321.36,43
28753DU4121921,VA,Bronze,211.85,10
36539SL0129429,FL,Silver,394.62,6
70914AN5022068,GA,Bronze,236.56,10
24882JM9980118,OH,Silver,284.91,2
09026KY4708180,VA,Gold,371.02,9
22128EC9048990,FL,Platinum,375.87,48
87983SO5633186,WI,Silver,495.53,6
24007CT6496792,MI,Silver,322.63,3
69867KN9409819,AL,Gold,338.69,2
88617BZ6394609,FL,Gold,385.89,29
10104CN7536981,FL,Bronze,400.41,43
81871CC2498907,FL,Bronze,226,17
04089FQ0511115,MI,Gold,399.88,1
66052KO3922268,OH,Bronze,186.29,1
83504GU5812189,MI,Silver,312.79,5
96410VW6342701,OH,Silver,249.72,11
04805MY6732880,OR,Catastrophic,233.47,1
90535JR6614962,GA,Gold,404.86,13
45994KV8836393,AZ,Gold,319.73,4
23107MQ2971140,SC,Silver,304.53,21
33021HF7327978,TX,Gold,275.67,17
91781BW9223571,SC,Silver,242.05,38
72903VO6081416,NC,Bronze,301.11,10
20038KL7209843,OR,Bronze,218.26,7
05606OP3903534,TN,Gold,271.28,2
64875VB5128196,AZ,Silver,416.99,2
91167QG9867207,OH,Silver,339.49,6
53074DQ0506080,MI,Silver,283.12,5
41764JT8467444,GA,Silver,321.12,16
60232RD8567264,SC,Gold,384.69,6
84301EB8885720,TX,Gold,419.62,1
01377WP1480235,FL,Bronze,295.28,57
73086DK6040384,SC,Gold,352.33,22
99471AK3918170,MO,Gold,298.24,3
40573KQ4692302,OH,Silver,356.83,2
96306GA9545500,AL,Gold,363.8,9
37851NS5708105,FL,Bronze,238.3,49
69777YF8320079,FL,Gold,420.31,36
85832CA1307132,IN,Silver,308.68,4
00638JH7959291,UT,Gold,323.51,6
43433SM7206291,SC,Silver,336.19,24
46568XD1237028,AZ,Silver,343.92,7
02462LL7728047,OH,Silver,337.09,11
78357RF4556661,NC,Bronze,293.55,14
71530HF0312320,FL,Silver,332.14,64
78699SI2540397,WI,Platinum,647.82,8
28341FR8516247,WI,Silver,410.74,15
76951MC8026262,SC,Silver,288.75,10
57556TB0546164,GA,Silver,232.37,14
36912BP2502100,FL,Catastrophic,269.39,60
77554EP3991283,NC,Catastrophic,223.93,10
82502GU8698364,IN,Bronze,307.89,15
73208PV1697647,NV,Gold,281.81,1
45979GF0736428,IL,Catastrophic,236.2,1
77361SW2442276,FL,Silver,234.75,6
05478ES5997548,SC,Bronze,282.07,43
55689GR7580728,PA,Bronze,170.47,6
97742GF4002556,MS,Bronze,304.51,4
90632UP6465707,WI,Gold,461.66,4
39900GL5017446,OH,Silver,432.06,7
07800UW7737957,TN,Bronze,207.2,3
01506TO5336628,MT,Catastrophic,193,2
61346IW5971729,IA,Silver,335.56,5
69418OJ6703792,IL,Silver,375.38,12
63772DB9966944,NE,Bronze,268.62,4
78084MD5192821,FL,Platinum,454.99,23
52710JK6790723,WI,Silver,365.08,1
78457CW3250692,MI,Gold,307.03,2
87533PT0881950,SC,Gold,567.95,44
04975GA0504666,NC,Silver,363.1,6
10026AD2448815,FL,Gold,322.93,48
30649BS7081557,FL,Gold,339.88,48
01401TE1074176,NV,Silver,246.6577161,4
60642RQ1020714,IL,Catastrophic,154.6,1
26438RP3629485,FL,Platinum,507.68,5
78421VV7272023,MO,Silver,290.05,3
87816RR7421777,OR,Silver,235,2
59194IR7051771,MT,Catastrophic,173.53,1
03964KL7533049,OR,Silver,239.36,4
57570LV1557884,FL,Silver,313.79,52
44045VM7144448,OK,Silver,248.69,1
46833WJ7957267,IN,Gold,374.49,1
90097QY1264449,AZ,Bronze,248.19,5
72426MO7673437,SC,Bronze,414.99,21
19074OM0818705,SC,Gold,363.88,39
48080EY8688216,SC,Silver,312.12,2
96598MW4967821,GA,Gold,357.68,3
86529OF4226996,WI,Silver,313.13,7
53636XP0392084,TX,Silver,315.33,26
63052ZD4355935,FL,Platinum,424.53,48
10543NI8654650,FL,Gold,448.4,10
93259KE6714707,FL,Silver,362.58,51
20232VI2844656,SC,Silver,274.98,40
11517EX4420267,MI,Gold,352.51,6
76159TK8604289,SC,Gold,351.21,31
83094CD6354554,MI,Silver,228.38,1
82642YL8484677,MI,Silver,332.47,4
56244WT8535580,TN,Silver,306.89,4
91105JU7955281,OK,Gold,255.84,4
04317RB4121849,FL,Bronze,255.88,51
01703PV3077507,FL,Bronze,231.2,43
72297FF0266191,FL,Silver,320.94,30
30518XV2498930,GA,Silver,363.61,1
52377JB6072310,OH,Silver,323.25,6
66025FY9680415,SC,Silver,309.05,15
15244SS8370553,SC,Platinum,649.08,4
30105LG7119034,MI,Gold,411.99,1
43709LR2402113,NM,Gold,244.26,1
34314JY5763641,VA,Bronze,282.65,1
56328ZZ3578693,WI,Platinum,396,11
21216PO0115001,MO,Silver,419.47,10
36982ZW2914787,LA,Platinum,461.23,6
76231YV0159131,MI,Gold,389.13,1
45287JN0875080,FL,Silver,340.66,5
36718ON3627854,AZ,Bronze,337.88,2
45762OV3415347,SC,Gold,343.62,30
80650QH0729942,IN,Bronze,180.43,16
32246EG7308494,UT,Bronze,199.64,2
14314HX1355525,SC,Gold,330.31,42
24637QA1600740,SC,Bronze,263.64,22
23173TM4588374,FL,Silver,364.04,67
68114QX7458598,MI,Gold,299.59,2
66726YZ1057831,GA,Bronze,332.53,5
70126ZA0180302,FL,Silver,294.44,17
66410MX4088906,OH,Silver,242.31,1
88529OU6950458,AZ,Gold,366.64,2
23084ZX9329050,MI,Silver,287.38,3
36109JE6267543,PA,Silver,335.53,9
96258UC3541190,OH,Silver,313.37,13
62292YM3443855,SC,Platinum,649.08,37
72719YH0946887,WI,Gold,500.95,1
06794DX7259733,NH,Bronze,255.25,1
99876VP2447177,TX,Silver,332.29,3
78316YU0504711,WY,Silver,413.3,2
05544DR2558825,TX,Silver,334.91,25
87185NC8952671,IN,Bronze,295.91,11
58990ER8374115,FL,Silver,267.27,3
94212IN7174824,IN,Bronze,303.96,11
51507MU6152355,FL,Gold,362.14,8
27258IZ6664261,FL,Gold,372.26,16
04040YO9530269,OH,Gold,332.63,15
99010IZ9496925,TX,Bronze,402.68,8
54106SW8051762,SC,Catastrophic,158.12,15
17023PL8493107,WI,Bronze,318.58,8
15452UE7026796,FL,Platinum,374.85,57
71025IZ4315251,PA,Silver,324.96,6
12074KW5301412,FL,Platinum,440.14,39
52468XL3399844,IN,Bronze,275.95,12
48983KJ6803413,FL,Gold,563.41,6
26491TG8335322,UT,Catastrophic,218.9,3
44116TP9569750,IL,Gold,295.39,1
92862ZB7649650,MI,Silver,270.83,6
22182GL7685280,ND,Silver,326.65,4
44095HX7023317,OH,Silver,299.14,5
27923XR9858766,FL,Silver,342.81,5
91757XT0223501,GA,Bronze,236,9
68753PR1953211,UT,Silver,281.78,6
66063KD9451934,OH,Bronze,311.6,15
64133XR7352184,KS,Gold,293.53,3
03151SL0388351,NC,Gold,450.83,3
83210QY4958686,IL,Gold,388.02,5
73442WY2126329,FL,Silver,337.61,50
55271JO3794055,FL,Gold,393.59,26
72069OS4081924,GA,Bronze,237.23,8
63622EC1602336,SC,Gold,606.32,43
57561HU8650100,IN,Bronze,252.99,6
14438PD6250442,SC,Bronze,250.8,23
66054MJ7535867,SC,Silver,296.18,1
84804MD3496878,FL,Bronze,273.5,39
06751ML5276933,KS,Gold,265.42,2
06982FU7402229,IN,Bronze,284.56,10
97288HF1388565,OH,Bronze,254.93,14
05909SM7051902,SC,Bronze,268.96,34
62414XU4748893,OR,Bronze,221,6
14780KR8097398,FL,Platinum,358.25,28
30731OT6866912,FL,Bronze,179.92,6
96526DN9488510,UT,Gold,330.71,6
89740KR3394622,TN,Silver,262.81,4
16194QO8037824,FL,Platinum,423.69,64
25178DM7732832,MI,Platinum,347.46,2
90925LC3129597,FL,Bronze,285.25,64
52206HI1570237,FL,Silver,331.91,7
03662JC5527120,WI,Silver,317.82,13
53109YG0648379,WI,Catastrophic,177.79,16
14909XZ4293375,TX,Gold,347.14,9
11068JP8797930,FL,Bronze,239.58,53
53526OE2911062,IL,Silver,271.86,5
37603BN6552122,TX,Silver,236.27,21
42187TG2316209,FL,Platinum,549.52,49
09489DA1954065,LA,Silver,381.54,1
74477OC4409107,FL,Silver,360.7,30
25588FU6239977,OR,Silver,266.52,7
06392SV6915201,OR,Silver,243.03,1
07149NX0816415,NV,Bronze,296.64,2
83668MJ5408499,WV,Gold,393.04,2
86636FZ1180325,MI,Catastrophic,248.63,4
74702WE1528440,IN,Gold,408.88,10
51533DL1603084,SC,Gold,269.54,38
99385WU7663081,GA,Silver,264.96,3
92864ST5394191,IN,Silver,373.13,11
53838PK6445106,FL,Gold,272.86,64
40497MR2112919,OH,Catastrophic,210.06,7
92537KS6582988,MI,Bronze,249.84,3
80615AM3872111,OH,Silver,421.32,10
85767MM2528325,NC,Bronze,266.34,11
47588BP7079703,FL,Silver,326.02,3
86907DL7373136,TX,Gold,388.81,6
09283RJ7870897,IL,Platinum,368.69,8
88906CI9526678,NC,Silver,329.7,5
35935PM0939227,FL,Platinum,391.38,4
54036JN5828659,NC,Gold,343.14,13
69424YN3249097,OH,Catastrophic,204.37,12
94313KT8270415,IL,Bronze,261.58,4
01987PN0701520,SC,Silver,433.38,33
87672KR7200038,PA,Silver,282.21,9
81878JM5669276,OH,Silver,255.23,1
79854JQ3143526,TX,Silver,281.57,5
64774OI7026061,FL,Platinum,467.77,50
04476BA2558509,OK,Bronze,211.87,5
33583TU6442351,SC,Bronze,283.83,2
20180DV4699610,IN,Bronze,295.66,11
08229TS0998487,FL,Silver,321.28,30
55782UO6923023,WI,Silver,349.88,14
23527WY7873467,WI,Silver,414.84,9
67325UB0355080,WI,Platinum,420.35,7
86996DM2650716,OH,Gold,397.66,2
95798KL9677207,SC,Gold,354.8,12
18447GZ3312601,OH,Bronze,271.43,12
81490TL6020919,VA,Bronze,259.89,3
02209VV8739886,FL,Silver,325.6,62
31427AV5103570,OR,Gold,325.72,2
82810CW5647065,OH,Platinum,425.36,15
87796TS3500813,AR,Silver,282,4
07289TF4603630,IN,Bronze,293.4,2
60036UN9232007,IN,Silver,301.66,15
21877GT0347352,PA,Silver,390.55,3
02295BV7991261,SC,Bronze,246.63,42
56490NZ9574406,SC,Gold,606.32,35
67540OJ5287559,NC,Bronze,251.75,1
21741HN0349622,PA,Silver,288.58,6
24507MK3652500,OH,Bronze,249.1,3
13794PX2018148,SC,Silver,315.61,43
09298FG9221031,TX,Silver,241.72,10
67045QG3014596,OK,Gold,363.19,2
91667KO5175741,SC,Silver,285.73,12
64477ED3272875,MI,Silver,283.12,8
79768DB0060659,PA,Silver,214.34,9
10139GK6993553,NC,Silver,359.61,5
14927YK0783302,SC,Silver,279.41,1
51773HN8747640,WI,Gold,317.87,11
92617TP2696710,MS,Gold,457.1,4
58842BD5565891,MI,Silver,335.25,7
45351NS9410038,GA,Gold,361.7,3
78127XW0001023,SC,Gold,333.31,10
31737TR9447315,OR,Gold,267,1
07743GT4611308,VA,Gold,400.1,7
51490FG0819446,NM,Silver,295.55,4
99052RK0772813,GA,Silver,381.25,11
33542FF3793620,IN,Bronze,325.08,13
16683BV9579155,TX,Silver,244.42,19
81569GX0942015,OR,Gold,309,3
45331XS8327848,OR,Gold,297,4
87023QL0585714,WI,Catastrophic,212.07,11
45536XZ6271173,SC,Silver,288.14,11
32519WN1182524,FL,Catastrophic,246.98,30
41857QB7380206,FL,Silver,381.14,42
12772SK4273399,WI,Catastrophic,211.39,4
04612QI7712643,WI,Gold,474.39,1
98954BJ0771886,NC,Bronze,262.33,2
06807LO5000700,WI,Gold,384.49,15
03713ZI6585952,OR,Catastrophic,193,1
77506MM9453585,TX,Bronze,275.32,26
80432TD4334626,SC,Silver,228.42,9
54690PD5874097,WI,Catastrophic,228.77,14
82815OV5357606,TN,Gold,300.9,7
39142DD9959727,OR,Silver,289,6
82001PE8250608,WY,Silver,435.51,1
88760FL8045114,OR,Silver,244,6
08111CY0950193,SC,Bronze,215.46,20
30110HL1004423,WI,Catastrophic,245.07,9
16612VV4835779,FL,Bronze,292.34,17
56319EY1771280,FL,Gold,419.78,26
22679UB3755481,OH,Bronze,297.98,2
57530EU3299678,IN,Silver,309.49,10
08829HN1084510,WI,Bronze,293.97,9
74822OM2512709,SC,Bronze,252.12,1
60826NS6691390,TX,Gold,293.76,26
78699XQ5388791,FL,Catastrophic,172.68,51
22238MB0908866,LA,Platinum,534.43,5
12889VG1924231,AZ,Platinum,280.99,4
63486VX2442232,FL,Gold,323.57,4
52863YV4256343,SC,Gold,333.72,42
22692PN6080162,WI,Silver,407.29,8
07856UR7841115,VA,Silver,296.85,9
48747WD7543734,SC,Silver,319.39,45
64103AX7722966,IL,Silver,239.83,4
80214MT7482133,TX,Gold,283.24,16
